id,community,level,title,size
0,0,0,Community 0,110
1,1,0,Community 1,138
2,2,0,Community 2,169
3,3,0,Community 3,79
4,4,0,Community 4,70
5,5,0,Community 5,76
6,6,0,Community 6,54
7,7,0,Community 7,95
8,8,0,Community 8,77
9,9,0,Community 9,161
10,10,0,Community 10,44
11,11,0,Community 11,55
12,12,0,Community 12,28
13,13,0,Community 13,13
14,14,0,Community 14,18
15,15,0,Community 15,6
16,16,0,Community 16,2
17,17,0,Community 17,26
18,18,0,Community 18,3
19,19,0,Community 19,8
20,20,0,Community 20,4
21,21,0,Community 21,2
22,22,0,Community 22,2
23,23,1,Community 23,8
24,24,1,Community 24,58
25,25,1,Community 25,7
26,26,1,Community 26,6
27,27,1,Community 27,1
28,28,1,Community 28,2
29,29,1,Community 29,2
30,30,1,Community 30,5
31,31,1,Community 31,4
32,32,1,Community 32,3
33,33,1,Community 33,6
34,34,1,Community 34,5
35,35,1,Community 35,3
36,36,1,Community 36,50
37,37,1,Community 37,25
38,38,1,Community 38,9
39,39,1,Community 39,8
40,40,1,Community 40,17
41,41,1,Community 41,7
42,42,1,Community 42,3
43,43,1,Community 43,6
44,44,1,Community 44,2
45,45,1,Community 45,6
46,46,1,Community 46,3
47,47,1,Community 47,2
48,48,1,Community 48,30
49,49,1,Community 49,10
50,50,1,Community 50,2
51,51,1,Community 51,43
52,52,1,Community 52,24
53,53,1,Community 53,25
54,54,1,Community 54,6
55,55,1,Community 55,11
56,56,1,Community 56,18
57,57,1,Community 57,27
58,58,1,Community 58,12
59,59,1,Community 59,6
60,60,1,Community 60,2
61,61,1,Community 61,4
62,62,1,Community 62,5
63,63,1,Community 63,5
64,64,1,Community 64,3
65,65,1,Community 65,11
66,66,1,Community 66,4
67,67,1,Community 67,7
68,68,1,Community 68,19
69,69,1,Community 69,8
70,70,1,Community 70,7
71,71,1,Community 71,11
72,72,1,Community 72,8
73,73,1,Community 73,10
74,74,1,Community 74,24
75,75,1,Community 75,11
76,76,1,Community 76,6
77,77,1,Community 77,5
78,78,1,Community 78,11
79,79,1,Community 79,7
80,80,1,Community 80,5
81,81,1,Community 81,3
82,82,1,Community 82,4
83,83,1,Community 83,11
84,84,1,Community 84,8
85,85,1,Community 85,17
86,86,1,Community 86,14
87,87,1,Community 87,4
88,88,1,Community 88,24
89,89,1,Community 89,4
90,90,1,Community 90,9
91,91,1,Community 91,17
92,92,1,Community 92,12
93,93,1,Community 93,23
94,94,1,Community 94,6
95,95,1,Community 95,11
96,96,1,Community 96,17
97,97,1,Community 97,29
98,98,1,Community 98,2
99,99,1,Community 99,4
100,100,1,Community 100,2
101,101,1,Community 101,2
102,102,1,Community 102,2
103,103,1,Community 103,8
104,104,1,Community 104,31
105,105,1,Community 105,23
106,106,1,Community 106,23
107,107,1,Community 107,13
108,108,1,Community 108,17
109,109,1,Community 109,10
110,110,1,Community 110,27
111,111,1,Community 111,7
112,112,1,Community 112,6
113,113,1,Community 113,4
114,114,1,Community 114,14
115,115,1,Community 115,9
116,116,1,Community 116,5
117,117,1,Community 117,2
118,118,1,Community 118,11
119,119,1,Community 119,3
120,120,1,Community 120,21
121,121,1,Community 121,5
122,122,1,Community 122,2
123,123,1,Community 123,11
124,124,1,Community 124,3
125,125,1,Community 125,1
126,126,1,Community 126,2
127,127,1,Community 127,4
128,128,1,Community 128,6
129,129,1,Community 129,9
130,130,1,Community 130,3
131,131,1,Community 131,8
132,132,1,Community 132,5
133,133,1,Community 133,3
134,134,1,Community 134,4
135,135,1,Community 135,4
136,136,1,Community 136,5
137,137,1,Community 137,7
138,138,1,Community 138,5
139,139,1,Community 139,3
140,140,1,Community 140,3
141,141,1,Community 141,3
143,143,1,Community 143,2
144,144,1,Community 144,1
145,145,1,Community 145,5
146,146,1,Community 146,9
147,147,1,Community 147,4
148,148,1,Community 148,2
149,149,1,Community 149,6
150,150,2,Community 150,50
151,151,2,Community 151,2
